0	81478
1	47390
2	25958
3	14384
4	14209
5	10110
6	5962
7	4088
8	4481
9	3905
10	2453
11	1944
12	2283
13	2025
14	1267
15	1211
16	1428
17	1313
18	862
19	805
20	1068
21	811
22	513
23	510
24	586
25	487
26	347
27	452
28	404
29	320
30	237
31	303
32	287
33	218
34	180
35	215
36	182
37	121
38	154
39	169
40	153
41	89
42	123
43	132
44	94
45	84
46	88
47	105
48	61
49	70
50	56
51	69
52	51
53	50
54	49
55	51
56	40
57	28
58	51
59	35
60	24
61	33
62	36
63	26
64	15
65	23
66	24
67	17
68	12
69	13
70	14
71	16
72	15
73	19
74	9
75	6
76	8
77	15
78	5
79	2
80	5
81	6
82	2
83	1
84	4
85	1
86	4
87	1
88	4
89	6
90	2
91	7
92	1
93	3
94	6
95	2
96	3
97	1
98	4
99	3
100	1
101	1
102	1
103	1
104	2
105	0
106	1
107	1
108	4
109	4
110	1
111	0
112	1
113	2
114	2
115	2
116	2
117	1
118	1
119	0
120	1
121	0
122	1
123	0
124	0
125	2
126	1
127	1
128	4
129	3
130	1
131	0
132	1
133	1
134	1
135	0
136	2
137	1
138	1
139	1
140	1
141	0
142	3
143	1
144	1
145	0
146	1
147	2
148	1
149	1
150	1
151	2
152	1
153	0
154	3
155	2
156	1
157	1
158	1
159	1
160	1
161	1
162	0
163	0
164	0
165	1
166	3
167	0
168	0
169	2
170	0
171	1
172	0
173	0
174	0
175	0
176	2
177	0
178	1
179	2
180	0
181	1
182	1
183	0
184	0
185	1
186	1
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
